id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28442748,Grand condo with 3 Terrace,208284511,Pablo,,Waterfront Communities-The Island,43.63931,-79.39528,Entire home/apt,999,28,76,2020-01-26,2.19,1,365
28443226,Central Luxury Large bedroom with large terrace,44964154,Abby,,Annex,43.67806,-79.39625,Private room,8617,28,9,2019-08-19,0.26,11,0
28443582,Spacious private room with wifi and parking,214614385,Jenn,,Pleasant View,43.77847,-79.32649,Private room,41,29,0,,,2,365
28454136,Luxurious Downtown area Condo,180616242,Jerome,,Yonge-St.Clair,43.68747,-79.39866,Entire home/apt,140,28,1,2019-10-28,0.05,1,365
28455963,Large private room with wifi and parking,214614385,Jenn,,Pleasant View,43.77953,-79.32505,Private room,46,29,3,2019-02-10,0.09,2,365
28456515,Homey Condo + Balcony next2 CNTower/Rogers,63880664,Sugito,,Waterfront Communities-The Island,43.64094,-79.39612,Entire home/apt,109,28,21,2019-08-15,0.70,11,130
28464074,Private Bathroom (RM #3)-@Trinity Park Queen west,214712583,YuLin,,Little Portugal,43.64984,-79.42531,Private room,56,1,41,2020-02-26,1.68,3,328
28464973,"Pvt Apartment - near PanAm  Ctr, UTSC & Centennial",214876814,Suzanne,,Highland Creek,43.79287,-79.16616,Entire home/apt,96,28,14,2020-02-29,0.59,1,310
28465163,New Designer Guest Suite with Private Entrance,214876581,Arash,,Willowdale East,43.76758,-79.40486,Entire home/apt,129,30,28,2020-02-06,1.04,1,151
28467555,Private Bathroom (RM #1) -@Trinity Park/Queen West,214712583,YuLin,,Little Portugal,43.64912,-79.42487,Private room,56,1,68,2019-11-03,2.44,3,329
28467680,Private Bathroom (RM #2)-@Trinity Park/Queen West,214712583,YuLin,,Little Portugal,43.6497,-79.4251,Private room,56,1,65,2019-10-28,2.52,3,278
28468024,great place to experience,212135158,Sukru,,Wexford/Maryvale,43.73246,-79.29794,Private room,56,28,4,2020-10-04,0.16,1,365
28469817,Toronto Multi-unit building,101391892,Abhishek,,Dorset Park,43.77287,-79.28386,Private room,340,28,1,2018-09-27,0.03,1,0
28470014,A Beautiful Home:4 bedrooms+2.5 washrooms .,79528541,Selina,,Mount Olive-Silverstone-Jamestown,43.75836,-79.5933,Entire home/apt,211,2,8,2021-07-21,0.25,3,60
28480015,City views from your bedroom,62531705,Dennis,,Niagara,43.63325,-79.42743,Private room,75,28,2,2018-10-21,0.06,1,0
28483553,Beautiful Modern Condo w/Stunning Views & Parking!,93376913,Kathy,,Mount Pleasant West,43.71043,-79.39648,Entire home/apt,283,28,16,2020-01-31,0.47,1,180
28486449,Luxurious 2bed condo lake view underground parking,212266660,Kevin,,Birchcliffe-Cliffside,43.70558,-79.25058,Entire home/apt,119,28,94,2020-03-31,2.77,1,218
28489106,Chic Urban Home!  Private Well Appointed Bedroom!,91808079,James,,North St.James Town,43.67161,-79.37689,Private room,78,29,17,2020-01-04,0.50,2,329
28489577,LH Private basement room for two,106039324,Minh,,Humber Heights-Westmount,43.69863,-79.52916,Private room,25,28,5,2021-07-26,0.14,3,65
28493313,Modern North york Condominium,215078633,Joe & Kathia,,Banbury-Don Mills,43.72927,-79.33169,Entire home/apt,110,28,8,2019-10-20,0.23,1,0
28511099,Spacious 2 Level Victorian House with Lake View,2445376,Leon,,South Parkdale,43.63427,-79.43019,Entire home/apt,99,28,40,2020-02-27,1.43,1,0
28511909,FULLY LOADED just outside Toronto core,16749221,Sherry,,Caledonia-Fairbank,43.68321,-79.45914,Entire home/apt,53,28,7,2019-04-05,0.24,1,0
28522785,Room with a view,155131829,John,,Briar Hill-Belgravia,43.70378,-79.44016,Private room,35,28,7,2019-07-28,0.20,1,0
28525442,One Bed Apartment with Ensuite Full Bath,105962592,Amir,,Princess-Rosethorn,43.67575,-79.55515,Entire home/apt,69,28,25,2019-12-03,0.73,3,68
28536553,Bright and Beautiful Room in a Prime Time Location,83307611,Billy,,Niagara,43.64269,-79.40389,Private room,80,28,124,2020-08-31,3.55,2,56
